what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.wst.jsdt.manipulation,1.0.300.v201104272153,"org.eclipse.wst.jsdt.manipulation",1398678903954
started,bundle,org.eclipse.wst.jsdt.ui,1.1.102.v201201131900,"org.eclipse.wst.jsdt.ui",1398678903954
started,bundle,org.eclipse.wst.web,1.1.501.v201201190400,"org.eclipse.wst.web",1398678903954
started,bundle,com.android.ide.eclipse.adt,22.3.0.v201310242005-887826,"com.android.ide.eclipse.adt",1398678903954
started,bundle,com.android.ide.eclipse.base,22.3.0.v201310242005-887826,"com.android.ide.eclipse.base",1398678903956
started,bundle,com.aptana.core,3.3.0.1373665087,"com.aptana.core",1398678903956
started,bundle,com.aptana.filewatcher,3.0.1.1376005939,"com.aptana.filewatcher",1398678903957
started,bundle,com.aptana.portal.ui,3.0.0.1367525200,"com.aptana.portal.ui",1398678903958
started,bundle,com.aptana.scripting,3.1.0.1374765659,"com.aptana.scripting",1398678903958
started,bundle,com.aptana.scripting.ui,3.0.0.1363994809,"com.aptana.scripting.ui",1398678903958
started,bundle,com.aptana.theme,3.0.0.1364595254,"com.aptana.theme",1398678903959
started,bundle,com.aptana.usage,3.0.0.1376005939,"com.aptana.usage",1398678903960
started,bundle,org.eclipse.dltk.core,3.0.1.v20110823,"org.eclipse.dltk.core",1398678903961
started,bundle,org.eclipse.dltk.core.index.sql,3.0.0.v20110423,"org.eclipse.dltk.core.index.sql",1398678904056
started,bundle,org.eclipse.dltk.core.manipulation,3.0.0.v20110609-1525,"org.eclipse.dltk.core.manipulation",1398678904056
started,bundle,org.eclipse.dltk.launching,3.0.0.v20110423,"org.eclipse.dltk.launching",1398678904057
started,bundle,org.eclipse.dltk.ui,3.0.1.v20110823,"org.eclipse.dltk.ui",1398678904059
started,bundle,org.eclipse.php.core,3.0.1.v201201110400,"org.eclipse.php.core",1398678904061
started,bundle,org.eclipse.php.ui,3.0.1.v201201110400,"org.eclipse.php.ui",1398678904064
started,bundle,org.eclipse.actf.model.flash.proxy,1.1.0.R201306091406,"org.eclipse.actf.model.flash.proxy",1398678904064
started,bundle,org.eclipse.actf.model.ui,1.1.0.R201306091406,"org.eclipse.actf.model.ui",1398678904065
started,bundle,org.eclipse.actf.visualization.blind,1.1.0.R201306091406,"org.eclipse.actf.visualization.blind",1398678904065
started,bundle,org.eclipse.actf.visualization.gui,1.1.0.R201306091406,"org.eclipse.actf.visualization.gui",1398678904066
started,bundle,org.eclipse.rse.core,3.3.100.201305201712,"org.eclipse.rse.core",1398678904066
started,bundle,org.eclipse.rse.services,3.2.200.201211090626,"org.eclipse.rse.services",1398678904067
started,bundle,org.eclipse.rse.ui,3.3.100.201305071605,"org.eclipse.rse.ui",1398678904067
os,sysinfo,,,"win32",1398678904072
arch,sysinfo,,,"x86",1398678904072
ws,sysinfo,,,"win32",1398678904072
locale,sysinfo,,,"es_ES",1398678904072
processors,sysinfo,,,"2",1398678904072
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1398678904072
java.runtime.version,sysinfo,,,"1.7.0_51-b13",1398678904072
java.specification.name,sysinfo,,,"Java Platform API Specification",1398678904072
java.specification.vendor,sysinfo,,,"Oracle Corporation",1398678904072
java.specification.version,sysinfo,,,"1.7",1398678904072
java.vendor,sysinfo,,,"Oracle Corporation",1398678904072
java.version,sysinfo,,,"1.7.0_51",1398678904072
java.vm.info,sysinfo,,,"mixed mode, sharing",1398678904072
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1398678904072
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1398678904072
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1398678904072
java.vm.specification.version,sysinfo,,,"1.7",1398678904072
java.vm.vendor,sysinfo,,,"Oracle Corporation",1398678904072
java.vm.version,sysinfo,,,"24.51-b03",1398678904072
started,bundle,org.eclipse.m2e.usagedata,1.0.200.20111228-1245,"org.eclipse.m2e.usagedata",1398678904082
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1398678904189
started,bundle,org.eclipse.actf.model.flash,1.1.0.R201306091406,"org.eclipse.actf.model.flash",1398678905026
started,bundle,org.eclipse.epp.usagedata.ui,1.3.1.R201106061540,"org.eclipse.epp.usagedata.ui",1398678905090
started,bundle,org.eclipse.actf.ui,1.1.0.R201306091406,"org.eclipse.actf.ui",1398678905221
started,bundle,org.eclipse.dltk.core.index.sql.h2,3.0.0.v20110423,"org.eclipse.dltk.core.index.sql.h2",1398678905329
opened,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.ProblemView",1398678906203
